"Name","Type","SizeGB","Files"
"doramon","Folder","262.93","2025"
"魔法少女リリカルなのは","Folder","87.88","54"
"[ReinForce] Steins;Gate (BDRip 1920x1080 x264 FLAC)","Folder","73.83","50"
"[VCB-S&philosophy-raws][Ghost in the Shell：STAND ALONE COMPLEX]","Folder","69.1","52"
"[UCCUSS] Kimetsu no Yaiba 鬼滅の刃 全26話 (BD 1920x1080p AVC FLAC AAC)","Folder","64.89","26"
"进击的巨人","Folder","64.21","99"
"JoJo no Kimyou na Bouken - Diamond wa Kudakenai 2016 [BD 1920x1080 HEVC FLAC] - LittleBakas!","Folder","64.01","39"
"[Moozzi2] Fullmetal Alchemist Brotherhood - TV + OVA","Folder","56.09","132"
"[A.I.R.nesSub&TxxZ][JoJo's_Bizarre_Adventure_SC][BDRIP]","Folder","53.54","49"
"[SFEO-Raws] 物语系列合集 Monogatari Series (BD 720P x264 10bit AAC)","Folder","45.27","319"
"[VCB-Studio] Fate Zero [Ma10p_1080p]","Folder","40.92","27"
"[VCB-Studio] Full Metal Panic","Folder","34.58","138"
"[Snow-Raws] 四月は君の嘘","Folder","31.31","22"
"[アニメ BD] みなみけ 第1-4期 全52話+OVAx3+特典+CDx27+Scans(1920x1080 HEVC 10bit FLAC+FLAC softSub(chi+eng) chap)","Folder","31.25","55"
"[philosophy-raws][Fullmetal Alchemist]","Folder","30.82","104"
"[Moozzi2] Fate stay night Unlimited Blade Works BD-BOX - TV + SP","Folder","28.37","26"
"[Snow-Raws] 未来日記 2011","Folder","27","26"
"[VCB-Studio] Sidonia no Kishi [Hi10p_1080p]","Folder","26.87","24"
"[Moozzi2] Code Geass S2 - TV + SP","Folder","25.34","50"
"[Snow-Raws] 日常","Folder","24.98","26"
"[Shirokoi&Airota&VCB-Studio] Non Non Biyori","Folder","24.55","52"
"[Erai-raws] Baki (2018) - 01 ~ 26 [1080p][Multiple Subtitle]","Folder","23.92","26"
"Monster TV 2004","Folder","22.77","150"
"[Moozzi2] 亚人-亜人-Ajin - TV + SP- (BD 1920x1080 x.264 DTS-HD MA)","Folder","21.91","13"
"俺妹","Folder","21.83","79"
"[Moozzi2] Code Geass S1 - TV + SP","Folder","21.46","50"
"[Moozzi2] Ajin 2 - TV + SP","Folder","21.27","13"
"天元突破","Folder","20.11","30"
"[Moozzi2] Shiki - TV + SP","Folder","20.05","48"
"[DMG] 冴えない彼女の育てかた [BDRip][S1(Vol.01-Vol.07)+S2(Vol.01-Vol.06)]","Folder","18.91","55"
"[Moozzi2] Shingeki no Kyojin S3 Part 1+2 - TV + Tokuten BD","Folder","17.35","10"
"[fx][Death_Note][1-37][BD.1080p][HEVC_x265][CHN][10bit]","Folder","15.78","37"
"[UHA-WINGS][Inuyashiki][BDRip 1920x1080 x264 FLAC]","Folder","13.33","33"
"自新世界","Folder","13.03","50"
"[Moozzi2] Cop Craft - TV + SP","Folder","12.53","12"
"[UHA-WINGS][JoJo no Kimyou na Bouken 2012][BDrip 1080p x264_AAC]","Folder","12.51","28"
"[ARIA][BDRIP][1080P][HEVC]","Folder","11.3","79"
"[Nekomoe kissaten] Dororo [WebRip 1080p HEVC-10bit AAC]","Folder","10.19","72"
"[AI-Raws][When They Cry_ひぐらしのなく頃に][01-26+OVA][BDRip][MKV]","Folder","9.79","54"
"只有神知道的世界","Folder","9.53","40"
"[LoliHouse] Kengan Ashura [WebRip 1080p HEVC-10bit AAC SRTx4]","Folder","9.16","12"
"赌博默示录","Folder","8.96","109"
"[Moozzi2] Fullmetal Alchemist The Sacred Star of Milos - Movie + SP","Folder","8.28","1"
"one outs","Folder","7.86","25"
"[AI-Raws][When They Cry Kai_ひぐらしのなく頃に解][01-24][BDRip][MKV]","Folder","7.55","48"
"[Moozzi2] Fullmetal Alchemist Conqueror of Shamballa - Movie + SP","Folder","6.56","1"
"Break Blade (BD 1280x720 AVC AAC) [SEED]","Folder","6.34","6"
"[BD]Break Blade (BD 1280x720 AVC AAC) [SEED]","Folder","6.34","6"
"[Mugen no Juunin -Immortal-][01-14][BIG5][1080P]","Folder","6.16","24"
"[Xrip][B_gata_H_kei][BDrip][Vol.01_06][1080P][x264_10bit_flac]","Folder","6.11","24"
"[JYFanSub][ID_INVADED][01-13][GB][1080p]","Folder","5.33","13"
"[LoliHouse] 7SEEDS [WebRip 1080p HEVC-10bit AAC SRTx4]","Folder","4.45","12"
"[JyFanSub][Busou Shoujo Machiavellianism][01-13][GB][720p]","Folder","3.69","13"
"Usagi_Drop","Folder","2.78","11"
"[Nekomoe kissaten] Null & Peta [BDRip]","Folder","2.75","40"
"[东京教父].Tokyo.Godfathers.2003.BluRay.720p.x264.AC3-CMCT.mkv","File","2.6","1"
"[异域-11番小队][妄想代理人 Paranoia Agent][1-13+SP][BDRIP][X264-10bit_AAC][720P]","Folder","2.51","16"
"[Oshibudo][01-12][BIG5][720P]","Folder","2.44","12"
"[未麻的部屋].Perfect.Blue.1997.BluRay.720p.x264.Hi10P.AC3-CMCT.mkv","File","2.19","1"
"扑杀天使 ドクロちゃん bokusatutansh 第一季01-08完结+第二季01-04","Folder","1.98","12"
"T台","Folder","1.77","14"
"红辣椒-2006_BD国粤日3语中字.mp4","File","1.09","1"
"2001太空漫游.2001.A.Space.Odyssey.1968.BD.bttiantang.org.mkv","File","0.99","1"
"[Moozzi2] Fullmetal Alchemist Premium Collection - SP","Folder","0.36","12"
