"Name","Type","SizeGB","Files"
"Marvel's Agents of S.H.I.E.L.D. (2013) Season 1-7 S01-S07 (1080p BluRay x265 HEVC 10bit AAC 5.1 Ghost Kappa)","Folder","198.87","150"
"Jessica Jones Season 1 to 3 Mp4 1080p","Folder","58.37","39"
"Marvels.Runaways.S01-S03.COMPLETE.SERIES.1080p.WEBRip.x265-HiQVE","Folder","41.58","33"
"Marvels.The.Punisher.S01.1080p.NF.WEB.DD5.1.x264-NTb[rartv]","Folder","20.05","26"
"Marvel's Iron Fist (2017) Season 1 S01 (1080p BluRay x265 HEVC 10bit AAC 5.1 Vyndros)","Folder","16.47","13"
"Ms Marvel (2022) Season 1 S01 (2160p DSNP WEB-DL x265 HEVC 10bit DDP 5.1 Vyndros)","Folder","15.46","6"
"Marvel's The Punisher (2017) Season 2 S02 (1080p DS4K NF WEB-DL x265 HEVC 10bit DDP 5.1 Vyndros)","Folder","13.03","26"
"Secret.Invasion.S01.COMPLETE.1080p.DSNP.WEB-DL.DDP5.1.H.264-NTb[TGx]","Folder","12.15","6"
"Agatha All Along (2024) S01 (1080p DSNP WEB-DL x265 10bit EAC3 5.1 Silence)","Folder","11.9","9"
"Moon Knight (2022) Season 1 S01 (1080p BluRay x265 HEVC 10bit EAC3 5.1 Silence)","Folder","10.72","6"
"Marvel's.Daredevil.S02","Folder","10.54","26"
"Echo.S01.COMPLETE.1080p.DSNP.WEB-DL.DDP5.1.H.264-NTb[TGx]","Folder","8.54","5"
"Marvels.The.Defenders.S01.1080p.x265-ZMNT[eztv.re]","Folder","8.25","8"
"Daredevil.Season.01.S01.Complete.1080p.WEBRip.6CH.x265.HEVC-PSA","Folder","7.84","26"
"Helstrom (2020) Season 1 S01 (1080p HULU WEB-DL x265 HEVC 10bit DDP 5.1 Vyndros)","Folder","7.58","10"
"She-Hulk Attorney At Law Season S01 1080p WEBRip x265 DUAL DDP5.1 Atmos ESub - SP3LL","Folder","7.52","9"
"Marvels.Cloak.and.Dagger.S01.1080p.WEBRip.x265-RARBG","Folder","6.65","10"
"Marvel's.Daredevil.S03.1080p.10bit.WEBRip.6CH.x265.HEVC-PSA","Folder","6.32","26"
"Marvels.Iron.Fist.Season.2.S02.1080p.WEB-DL.x265-HETeam","Folder","5.84","10"
"The.Falcon.and.the.Winter.Soldier.SEASON.01.S01.COMPLETE.2160p.10bit.HDR.WEBRip.6CH.x265.HEVC-PSA","Folder","5.62","6"
"WandaVision.S01.2160p.10bit.HDR.WEBRip.6CH.x265.HEVC-PSA","Folder","5.6","18"
"Hawkeye.2021.S01.2160p.10bit.HDR.WEBRip.6CH.x265.HEVC-PSA","Folder","5.01","6"
"Loki.S02.1080p.WEBRip.10bit.DDP5.1.x265-HODL","Folder","4.89","6"
"Loki.SEASON.01.S01.COMPLETE.2160p.10bit.HDR.WEBRip.6CH.x265.HEVC-PSA","Folder","4.15","6"
